doc_id,title,language,published,source,url
tem_2020_09,"Työllisyyskatsaus, syyskuu 2020",fi,2020-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9508
tem_2020_11,"Työllisyyskatsaus, marraskuu 2020",fi,2020-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8968
tem_2022_11,"Työllisyyskatsaus, marraskuu 2022",fi,2022-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8353
tem_2022_02,"Työllisyyskatsaus, helmikuu 2022",fi,2022-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8188
tem_2022_10,"Työllisyyskatsaus, lokakuu 2022",fi,2022-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8316
tem_2021_07,"Työllisyyskatsaus, heinäkuu 2021",fi,2021-07-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8066
tem_2020_07,"Työllisyyskatsaus, heinäkuu 2020",fi,2020-07-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9548
tem_2024_09,"Työllisyyskatsaus, syyskuu 2024",fi,2024-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8465
tem_2020_10,"Työllisyyskatsaus, lokakuu 2020",fi,2020-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8929
tem_2021_05,"Työllisyyskatsaus, toukokuu 2021",fi,2021-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8572
tem_2020_08,"Työllisyyskatsaus, elokuu 2020",fi,2020-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9405
tem_2022_09,"Työllisyyskatsaus, syyskuu 2022",fi,2022-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8049
tem_2020_02,"Työllisyyskatsaus, helmikuu 2020",fi,2020-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9161
tem_2021_11,"Työllisyyskatsaus, marraskuu 2021",fi,2021-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/7918
tem_2021_03,"Työllisyyskatsaus, maaliskuu 2021",fi,2021-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8108
tem_2021_09,"Työllisyyskatsaus, syyskuu 2021",fi,2021-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8384
tem_2020_03,"Työllisyyskatsaus, maaliskuu 2020",fi,2020-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8654
tem_2021_10,"Työllisyyskatsaus, lokakuu 2021",fi,2021-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8118
tem_2020_05,"Työllisyyskatsaus, toukokuu 2020",fi,2020-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8676
tem_2022_06,"Työllisyyskatsaus, kesäkuu 2022",fi,2022-06-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8264
tem_2022_08,"Työllisyyskatsaus, elokuu 2022",fi,2022-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8288
tem_2020_06,"Työllisyyskatsaus, kesäkuu 2020",fi,2020-06-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8867
tem_2021_02,"Työllisyyskatsaus, helmikuu 2021",fi,2021-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8005
tem_2024_10,"Työllisyyskatsaus, lokakuu 2024",fi,2024-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8129
tem_2024_02,"Työllisyyskatsaus, helmikuu 2024",fi,2024-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8076
tem_2024_11,"Työllisyyskatsaus, marraskuu 2024",fi,2024-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8566
tem_2023_11,"Työllisyyskatsaus, marraskuu 2023",fi,2023-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8119
tem_2024_12,"Työllisyyskatsaus, joulukuu 2024",fi,2024-12-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8201
tem_2023_12,"Työllisyyskatsaus, joulukuu 2023",fi,2023-12-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8518
tem_2024_08,"Työllisyyskatsaus, elokuu 2024",fi,2024-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8598
tem_2024_03,"Työllisyyskatsaus, maaliskuu 2024",fi,2024-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8522
tem_2021_06,"Työllisyyskatsaus, kesäkuu 2021",fi,2021-06-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/7992
tem_2023_03,"Työllisyyskatsaus, maaliskuu 2023",fi,2023-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8374
tem_2024_06,"Työllisyyskatsaus, kesäkuu 2024",fi,2024-06-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8117
tem_2024_07,"Työllisyyskatsaus, heinäkuu 2024",fi,2024-07-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8140
tem_2023_02,"Työllisyyskatsaus, helmikuu 2023",fi,2023-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8362
