table_id,alue_16_20180101,timeperiod_q,contentscode,alue_16_20180101_text,timeperiod_q_text,contentscode_text,value,value_str,source,updated
11n1,SA1,2023Q2,atp_lkm,SA1 Helsinki-Uusimaa,2023Q2,Job vacancies,19500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2023Q3,atp_lkm,SA1 Helsinki-Uusimaa,2023Q3,Job vacancies,16600,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2023Q4,atp_lkm,SA1 Helsinki-Uusimaa,2023Q4,Job vacancies,14800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2024Q1,atp_lkm,SA1 Helsinki-Uusimaa,2024Q1,Job vacancies,19400,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2024Q2,atp_lkm,SA1 Helsinki-Uusimaa,2024Q2,Job vacancies,14800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2024Q3,atp_lkm,SA1 Helsinki-Uusimaa,2024Q3,Job vacancies,14600,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2024Q4,atp_lkm,SA1 Helsinki-Uusimaa,2024Q4,Job vacancies,11300,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2025Q1,atp_lkm,SA1 Helsinki-Uusimaa,2025Q1,Job vacancies,19800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2025Q2,atp_lkm,SA1 Helsinki-Uusimaa,2025Q2,Job vacancies,11200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2025Q3,atp_lkm,SA1 Helsinki-Uusimaa,2025Q3,Job vacancies,10700,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2025Q4,atp_lkm,SA1 Helsinki-Uusimaa,2025Q4,Job vacancies,8000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2026Q1,atp_lkm,SA1 Helsinki-Uusimaa,2026Q1,Job vacancies,15600,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA1,2026Q2,atp_lkm,SA1 Helsinki-Uusimaa,2026Q2,Job vacancies,12800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2013Q1,atp_lkm,SA2 Southern Finland,2013Q1,Job vacancies,9000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2013Q2,atp_lkm,SA2 Southern Finland,2013Q2,Job vacancies,5000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2013Q3,atp_lkm,SA2 Southern Finland,2013Q3,Job vacancies,4300,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2013Q4,atp_lkm,SA2 Southern Finland,2013Q4,Job vacancies,3200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2014Q1,atp_lkm,SA2 Southern Finland,2014Q1,Job vacancies,8500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2014Q2,atp_lkm,SA2 Southern Finland,2014Q2,Job vacancies,5800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2014Q3,atp_lkm,SA2 Southern Finland,2014Q3,Job vacancies,3700,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2014Q4,atp_lkm,SA2 Southern Finland,2014Q4,Job vacancies,2800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
