table_id,series_family,role,series_id,dimensions_json,forecast_scope,measure_code,is_forecast_target,is_auxiliary_feature,duplicate_group,authoritative_source,n_periods,n_non_null,coverage_ratio,zero_fraction,variance,time_first,time_last,selected,selection_reason
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY02|contentscode=UUDETAVP,"{""Alue"": ""ELY02"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,4513601.667142858,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY03|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY03"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,573367.8695918366,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY03|contentscode=UUDETAVP,"{""Alue"": ""ELY03"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,429086.453877551,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY04|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY04"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,2344577.112040816,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY04|contentscode=UUDETAVP,"{""Alue"": ""ELY04"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,1447037.3257142857,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY05|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY05"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,6600179.889795918,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY05|contentscode=UUDETAVP,"{""Alue"": ""ELY05"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,8293805.99265306,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY06|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY06"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,478044.91102040815,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY06|contentscode=UUDETAVP,"{""Alue"": ""ELY06"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,383438.6081632653,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY07|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY07"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,537390.3610204082,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY07|contentscode=UUDETAVP,"{""Alue"": ""ELY07"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,197921.01816326528,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY08|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY08"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,1239494.0906122453,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY08|contentscode=UUDETAVP,"{""Alue"": ""ELY08"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,1034811.7420408163,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY09|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY09"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,273017.92836734693,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY09|contentscode=UUDETAVP,"{""Alue"": ""ELY09"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,221297.45387755102,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY10|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY10"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,738616.4410204082,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY10|contentscode=UUDETAVP,"{""Alue"": ""ELY10"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,473768.50632653065,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY11|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY11"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,1130274.2620408165,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY11|contentscode=UUDETAVP,"{""Alue"": ""ELY11"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,517034.3634693878,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY12|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY12"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,2094863.3724489796,2009Q1,2026Q2,True,accepted
