table_id,Alue,timeperiod_m,contentscode,timeperiod_q,Alue_text,timeperiod_m_text,contentscode_text,value,value_str,source,updated,agg_source_months
12r5,SSS,,UUDETAVP,2016Q4,WHOLE COUNTRY,,New vacancies during the month (number),37102,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2016M12
12r5,SSS,,AVPAIKATLOPUSSA,2017Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),56402,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2017M03
12r5,SSS,,UUDETAVP,2017Q1,WHOLE COUNTRY,,New vacancies during the month (number),59747,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2017M03
12r5,SSS,,AVPAIKATLOPUSSA,2017Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),36506,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2017M06
12r5,SSS,,UUDETAVP,2017Q2,WHOLE COUNTRY,,New vacancies during the month (number),44064,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2017M06
12r5,SSS,,AVPAIKATLOPUSSA,2017Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),42574,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2017M09
12r5,SSS,,UUDETAVP,2017Q3,WHOLE COUNTRY,,New vacancies during the month (number),49551,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2017M09
12r5,SSS,,AVPAIKATLOPUSSA,2017Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),39424,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2017M12
12r5,SSS,,UUDETAVP,2017Q4,WHOLE COUNTRY,,New vacancies during the month (number),40320,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2017M12
12r5,SSS,,AVPAIKATLOPUSSA,2018Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),65243,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2018M03
12r5,SSS,,UUDETAVP,2018Q1,WHOLE COUNTRY,,New vacancies during the month (number),63718,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2018M03
12r5,SSS,,AVPAIKATLOPUSSA,2018Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),46101,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2018M06
12r5,SSS,,UUDETAVP,2018Q2,WHOLE COUNTRY,,New vacancies during the month (number),50063,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2018M06
12r5,SSS,,AVPAIKATLOPUSSA,2018Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),49275,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2018M09
12r5,SSS,,UUDETAVP,2018Q3,WHOLE COUNTRY,,New vacancies during the month (number),50529,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2018M09
12r5,SSS,,AVPAIKATLOPUSSA,2018Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),45930,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2018M12
12r5,SSS,,UUDETAVP,2018Q4,WHOLE COUNTRY,,New vacancies during the month (number),45925,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2018M12
12r5,SSS,,AVPAIKATLOPUSSA,2019Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),80218,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2019M03
12r5,SSS,,UUDETAVP,2019Q1,WHOLE COUNTRY,,New vacancies during the month (number),73330,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2019M03
12r5,SSS,,AVPAIKATLOPUSSA,2019Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),50200,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2019M06
12r5,SSS,,UUDETAVP,2019Q2,WHOLE COUNTRY,,New vacancies during the month (number),52564,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2019M06
12r5,SSS,,AVPAIKATLOPUSSA,2019Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),58730,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2019M09
12r5,SSS,,UUDETAVP,2019Q3,WHOLE COUNTRY,,New vacancies during the month (number),65435,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2019M09
